".id"	"sector"	"title"	"issue"	"paid"	"date"	"views"	"location"	"report"
"1"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Municipal Services"	"
                      I Paid Rs. 111 to Municipal Services in Abohar.
                    "	"Birth Certificate"	"Paid INR 111
                        "	"November 03, 2015"	"29 views"	"Abohar
                      , Punjab"	"81655"
"2"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Municipal Services"	"
                      I Paid Rs. 1 to Municipal Services in Mumbai.
                    "	"Birth Certificate"	"Paid INR 1
                        "	"November 03, 2015"	"27 views"	"Mumbai
                      , Maharashtra"	"81654"
"3"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Police"	"
                      I Paid Rs. 5000 to Police in Thane.
                    "	"Filing FIR"	"Paid INR 5,000
                        "	"November 03, 2015"	"38 views"	"Thane
                      , Maharashtra"	"81652"
"4"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Municipal Services"	"
                      I Paid Rs. 500 to Municipal Services in Lucknow.
                    "	"Birth Certificate"	"Paid INR 500
                        "	"November 03, 2015"	"31 views"	"Lucknow
                      , Uttar Pradesh"	"81645"
"5"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Municipal Services"	"
                      I Paid Rs. 100 to Municipal Services in Mumbai.
                    "	"Birth Certificate"	"Paid INR 100
                        "	"November 03, 2015"	"35 views"	"Mumbai
                      , Maharashtra"	"81642"
"6"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Police"	"
                      I Paid Rs. 1000 to Police in Hazaribagh.
                    "	"Traffic Violations"	"Paid INR 1,000
                        "	"November 03, 2015"	"48 views"	"Hazaribagh
                      , Jharkhand"	"81629"
"7"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Food, Civil Supplies and Consumer Affairs"	"
                      I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.
                    "	"Issue of Ration Card"	"Paid INR 50,000
                        "	"November 03, 2015"	"61 views"	"Abohar
                      , Punjab"	"81625"
"8"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Commercial Tax, Sales Tax, VAT"	"
                      I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.
                    "	"C Form"	"Paid INR 5,00,000
                        "	"November 03, 2015"	"99 views"	"Kolkata
                      , West Bengal"	"81622"
"9"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Police"	"
                      Bribe for passport verification
                    "	"Police Verification for Passport"	"Paid INR 200
                        "	"November 02, 2015"	"124 views"	"Bangalore
                      , Karnataka"	"81615"
"10"	"http://www.ipaidabribe.com/reports/paid?page=10"	"Police"	"
                      I Paid Rs. 2 to Police in Adari.
                    "	"Filing FIR"	"Paid INR 2
                        "	"November 02, 2015"	"138 views"	"Adari
                      , Uttar Pradesh"	"81608"
"11"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Railways"	"
                      I Paid Rs. 10000 to Railways in Chandigarh.
                    "	"Transport of Goods"	"Paid INR 10,000
                        "	"November 02, 2015"	"157 views"	"Chandigarh
                      , Chandigarh"	"81597"
"12"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Police"	"
                      Asked bribe at the heart of Delhi by traffic police
                    "	"Traffic Violations"	"Paid INR 600
                        "	"November 02, 2015"	"157 views"	"New Delhi
                      , Delhi"	"81583"
"13"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Commercial Tax, Sales Tax, VAT"	"
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.
                    "	"C Form"	"Paid INR 100
                        "	"November 02, 2015"	"146 views"	"Durgapur
                      , West Bengal"	"81582"
"14"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Others"	"
                      I Paid Rs. 20 to Others in Pune.
                    "	"Others"	"Paid INR 20
                        "	"November 02, 2015"	"142 views"	"Pune
                      , Maharashtra"	"81575"
"15"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Others"	"
                      I Paid Rs. 1200 to Others in Mumbai.
                    "	"Others"	"Paid INR 1,200
                        "	"November 02, 2015"	"141 views"	"Mumbai
                      , Maharashtra"	"81574"
"16"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Municipal Services"	"
                      I Paid Rs. 100 to Municipal Services in Itanagar.
                    "	"Birth Certificate"	"Paid INR 100
                        "	"November 02, 2015"	"126 views"	"Itanagar
                      , Arunachal Pradesh"	"81564"
"17"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Municipal Services"	"
                      I Paid Rs. 464001 to Municipal Services in Vidisha.
                    "	"Birth Certificate"	"Paid INR 4,64,001
                        "	"November 02, 2015"	"129 views"	"Vidisha
                      , Madhya Pradesh"	"81554"
"18"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Transport"	"
                      I Paid Rs. 120200 to Transport in Alipurduar.
                    "	"Registration of Vehicle"	"Paid INR 1,20,200
                        "	"November 02, 2015"	"169 views"	"Alipurduar
                      , West Bengal"	"81547"
"19"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Municipal Services"	"
                      I Paid Rs. 1200 to Municipal Services in Kochi.
                    "	"Birth Certificate"	"Paid INR 1,200
                        "	"November 02, 2015"	"181 views"	"Kochi
                      , Kerala"	"81543"
"20"	"http://www.ipaidabribe.com/reports/paid?page=20"	"Police"	"
                      I Paid Rs. 10000 to Police in Mahesana.
                    "	"Traffic Violations"	"Paid INR 10,000
                        "	"November 02, 2015"	"175 views"	"Mahesana
                      , Gujarat"	"81542"
"21"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Income Tax"	"
                      I Paid Rs. 200 to Income Tax in Pune.
                    "	"New PAN Card"	"Paid INR 200
                        "	"November 02, 2015"	"177 views"	"Pune
                      , Maharashtra"	"81520"
"22"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Others"	"
                      I Paid Rs. 20000 to Others in Hyderabad.
                    "	"Others"	"Paid INR 20,000
                        "	"November 02, 2015"	"201 views"	"Hyderabad
                      , Telangana"	"81499"
"23"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Food, Civil Supplies and Consumer Affairs"	"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.
                    "	"Issue of Ration Card"	"Paid INR 500
                        "	"November 02, 2015"	"229 views"	"Kolkata
                      , West Bengal"	"81496"
"24"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Municipal Services"	"
                      I Paid Rs. 111 to Municipal Services in Chennai.
                    "	"Birth Certificate"	"Paid INR 111
                        "	"November 01, 2015"	"217 views"	"Chennai
                      , Tamil Nadu"	"81493"
"25"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Municipal Services"	"
                      I Paid Rs. 200 to Municipal Services in Adilabad.
                    "	"Birth Certificate"	"Paid INR 200
                        "	"November 01, 2015"	"184 views"	"Adilabad
                      , Telangana"	"81492"
"26"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Income Tax"	"
                      I Paid Rs. 2000 to Income Tax in Abohar.
                    "	"New PAN Card"	"Paid INR 2,000
                        "	"November 01, 2015"	"191 views"	"Abohar
                      , Punjab"	"81488"
"27"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Customs, Excise and Service Tax"	"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.
                    "	"Customs Check and Clearance"	"Paid INR 100
                        "	"November 01, 2015"	"167 views"	"Abohar
                      , Punjab"	"81487"
"28"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Municipal Services"	"
                      I Paid Rs. 345 to Municipal Services in Abhayapuri.
                    "	"Birth Certificate"	"Paid INR 345
                        "	"November 01, 2015"	"154 views"	"Abhayapuri
                      , Assam"	"81486"
"29"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Municipal Services"	"
                      I Paid Rs. 33 to Municipal Services in Achhnera.
                    "	"Birth Certificate"	"Paid INR 33
                        "	"November 01, 2015"	"144 views"	"Achhnera
                      , Uttar Pradesh"	"81483"
"30"	"http://www.ipaidabribe.com/reports/paid?page=30"	"Commercial Tax, Sales Tax, VAT"	"
                      I Paid Rs. 524001 to Commercial Tax, Sales Tax, VAT in Abohar.
                    "	"C Form"	"Paid INR 5,24,001
                        "	"November 01, 2015"	"171 views"	"Abohar
                      , Punjab"	"81479"
"31"	"http://www.ipaidabribe.com/reports/paid?page=40"	"Police"	"
                      I Paid Rs. 200 to Police in New Delhi.
                    "	"Traffic Violations"	"Paid INR 200
                        "	"November 01, 2015"	"175 views"	"New Delhi
                      , Delhi"	"81470"
"32"	"http://www.ipaidabribe.com/reports/paid?page=40"	"Municipal Services"	"
                      I Paid Rs. 1000 to Municipal Services in Mansa.
                    "	"Birth Certificate"	"Paid INR 1,000
                        "	"November 01, 2015"	"146 views"	"Mansa
                      , Punjab"	"81467"
"33"	"http://www.ipaidabribe.com/reports/paid?page=40"	"Income Tax"	"
                      I Paid Rs. 108 to Income Tax in Rae Bareli.
                    "	"New PAN Card"	"Paid INR 108
                        "	"November 01, 2015"	"142 views"	"Rae Bareli
                      , Uttar Pradesh"	"81456"
"34"	"http://www.ipaidabribe.com/reports/paid?page=40"	"Municipal Services"	"
                      I Paid Rs. 100 to Municipal Services in Dehradun.
                    "	"Birth Certificate"	"Paid INR 100
                        "	"November 01, 2015"	"123 views"	"Dehradun
                      , Uttarakhand"	"81454"
"35"	"http://www.ipaidabribe.com/reports/paid?page=40"	"Income Tax"	"
                      I Paid Rs. 105 to Income Tax in Bhopal.
                    "	"New PAN Card"	"Paid INR 105
                        "	"November 01, 2015"	"111 views"	"Bhopal
                      , Madhya Pradesh"	"81442"
"36"	"http://www.ipaidabribe.com/reports/paid?page=40"	"Others"	"
                      I Paid Rs. 100 to Others in Bahraich.
                    "	"Others"	"Paid INR 100
                        "	"November 01, 2015"	"112 views"	"Bahraich
                      , Uttar Pradesh"	"81433"
